Id,NationalCode,FullName,PhoneNumber,DateOfBirth,CreatedDate
1,33695663555,tayeb,09373128557,325654,5/24/2023 7:22:38 PM
2,21596,fgd,452,452,452
3,23651,fgd,452,452,452
4,32664,fgd,452,45,52
5,0,tayeb,09373128557,22/01/06,5/24/2023 4:07:10 PM
6,23968,tayeb,09306548254,8/12/2023,5/25/2023 11:01:13 AM
7,48,tayeb,09373128557,,5/25/2023 11:15:05 AM
8,77,tayeb,09373128557,,5/25/2023 11:15:45 AM
9,10,tayeb,09383216545,,5/25/2023 11:17:05 AM
10,46,taye,09373128557,2023/02/01,5/25/2023 11:21:57 AM
11,39,tayeb,09373128557,2023/01/01,5/25/2023 11:22:31 AM
